question_id,career_name,weight
30,Biochemist,5
1,Civil Engineer,5
7,Civil Engineer,5
22,Civil Engineer,5
25,Civil Engineer,5
30,Civil Engineer,5
1,Mechanical Engineer,5
7,Mechanical Engineer,5
22,Mechanical Engineer,5
25,Mechanical Engineer,5
30,Mechanical Engineer,5
1,Electrical Engineer,5
7,Electrical Engineer,5
22,Electrical Engineer,5
25,Electrical Engineer,5
30,Electrical Engineer,5
1,Petroleum Engineer,5
7,Petroleum Engineer,5
22,Petroleum Engineer,5
25,Petroleum Engineer,5
30,Petroleum Engineer,5
1,Architect,5
7,Architect,5
22,Architect,5
25,Architect,5
30,Architect,5
36,Accountant,5
36,Auditor,5
36,Financial Analyst,5
36,Tax Consultant,4
36,Banker,4
36,Business Analyst,3
36,Management Consultant,3
37,Accountant,2
37,Auditor,2
37,Financial Analyst,3
37,Tax Consultant,3
37,Banker,5
37,Business Analyst,3
37,Management Consultant,5
38,Accountant,3
38,Auditor,4
38,Financial Analyst,5
38,Tax Consultant,3
38,Banker,3
38,Business Analyst,5
38,Management Consultant,3
39,Civil Engineer,5
39,Architect,5
39,Mechanical Engineer,3
39,Electrical Engineer,2
39,Petroleum Engineer,2
42,Civil Engineer,5
42,Mechanical Engineer,5
42,Electrical Engineer,4
42,Petroleum Engineer,4
42,Architect,3
43,Doctor,5
43,Nurse,5
43,Pharmacist,3
43,Medical Laboratory Scientist,4
43,Biochemist,4
44,Doctor,5
44,Nurse,5
44,Pharmacist,4
44,Medical Laboratory Scientist,2
44,Biochemist,2
46,Pharmacist,5
46,Doctor,4
46,Biochemist,4
46,Nurse,3
46,Medical Laboratory Scientist,3
47,Lawyer,5
47,Corporate Lawyer,5
47,Legal Adviser,3
47,Legal Researcher,2
47,Compliance Officer,2
48,Compliance Officer,5
48,Legal Adviser,5
48,Corporate Lawyer,4
48,Lawyer,3
48,Legal Researcher,4
49,Lawyer,5
49,Legal Adviser,4
49,Corporate Lawyer,3
49,Compliance Officer,3
49,Legal Researcher,2
50,Journalist,5
50,Copywriter,4
50,Content Creator,3
50,Public Relations Officer,3
50,Broadcaster,3
50,Digital Marketer,2
50,Social Media Manager,2
51,Broadcaster,5
51,Public Relations Officer,4
51,Journalist,3
51,Content Creator,3
51,Social Media Manager,2
51,Digital Marketer,2
51,Copywriter,2
52,Social Media Manager,5
52,Content Creator,5
52,Digital Marketer,4
52,Copywriter,3
52,Public Relations Officer,2
52,Journalist,2
52,Broadcaster,2
53,Journalist,5
53,Broadcaster,4
53,Public Relations Officer,3
53,Content Creator,2
53,Copywriter,2
